Cluster 0 Summary
Number of Plants: 12513
Total Capacity: 1,196,634.6 MW
Average Distance to Cluster Center: 1378.39 km
Closest Plant to Menomonie: "Menomonie" (1.2 km)
Primary Sources:
  - solar: 5783
  - natural gas: 1963
  - hydroelectric: 1359
  - wind: 1323
  - petroleum: 759
  - biomass: 603
  - batteries: 294
  - coal: 200
  - other: 74
  - geothermal: 66
  - nuclear: 54
  - pumped storage: 35

Plant-Level Data:
Plant_Name,PrimSource,Total_MW,Distance_km,Cluster,Dist_to_ClusterCenter
Cottonwood,hydroelectric,2.4,2381.3780784437067,0,2269.1042460361045
Foothill,hydroelectric,8.6,2545.523488880253,0,2377.2778803424762
Franklin (CA),hydroelectric,2.0,2553.3530659763455,0,2378.3759217939073
Haiwee,hydroelectric,5.0,2394.206525914185,0,2270.9920144526945
Harbor,natural gas,422.0,2564.265855916394,0,2378.6330895461806
Haynes,natural gas,1599.2,2552.3094123370247,0,2364.5011274333065
Middle Gorge,hydroelectric,37.5,2362.4912461368845,0,2287.982209248981
Pleasant Valley Hydro,hydroelectric,2.7,2364.127038636782,0,2286.234768178067
San Fernando,hydroelectric,6.1,2545.750952702371,0,2377.3377162851257
Scattergood,natural gas,778.3,2566.572668736127,0,2386.80163487539
Upper Gorge,hydroelectric,36.5,2362.181697877974,0,2288.9793189134894
Valley (CA),natural gas,563.0,2542.543678883409,0,2371.1081685981976
Exchequer,hydroelectric,94.5,2490.4484231486113,0,2433.0349517362497
McSwain,hydroelectric,9.0,2496.932711175094,0,2438.035331261698
Chicago Park,hydroelectric,44.0,2460.990599475232,0,2456.039859808574
Dutch Flat 2,hydroelectric,27.3,2454.766325850203,0,2450.665221756912
Beardsley,hydroelectric,11.0,2443.9473525293433,0,2403.4489997354276
Donnells,hydroelectric,72.0,2438.3987493344075,0,2398.8973683459712
Tulloch,hydroelectric,25.5,2501.6232867401964,0,2455.603124479155
Forbestown,hydroelectric,37.5,2474.672837067953,0,2483.562932456916
Kelly Ridge,hydroelectric,10.0,2492.236160725396,0,2501.9054097462044
Woodleaf,hydroelectric,60.0,2468.673183110182,0,2477.1698868386134
Glenarm,natural gas,222.4,2532.2353178355493,0,2354.716394658896
French Meadows,hydroelectric,16.0,2427.544788222449,0,2416.1980088898995
Middle Fork,hydroelectric,132.0,2444.9459240531537,0,2433.307816580561
Oxbow (CA),hydroelectric,6.0,2457.7339121231794,0,2446.4991064453957
Ralston,hydroelectric,86.0,2456.149711428927,0,2444.6914646977148
Parker,hydroelectric,2.7,2509.7074793483816,0,2450.654304091206
Camino,hydroelectric,155.9,2449.492777787635,0,2431.4717513431997
Jaybird,hydroelectric,156.2,2448.8271327627804,0,2430.926765081501
Loon Lake,hydroelectric,74.1,2425.5850538119826,0,2410.7383755412047
Robbs Peak,hydroelectric,25.5,2433.848282977922,0,2416.7458917011263
White Rock/Slab Creek,hydroelectric,244.2,2472.121534020728,0,2453.9914501071175
Devil Canyon,hydroelectric,262.0,2466.4728422594026,0,2281.2651205722423
Edward C Hyatt,hydroelectric,743.1,2491.8142845201396,0,2501.8250501257808
Thermalito,pumped storage,115.1,2503.905901720263,0,2513.9562013148466
Don Pedro,hydroelectric,203.2,2496.4523815811444,0,2443.6035424482684
La Grange,hydroelectric,4.3,2499.638988609311,0,2446.210376114498
Folsom,hydroelectric,215.1,2504.0028029839546,0,2486.803396459624
Judge F Carr,hydroelectric,177.4,2534.841629352378,0,2584.2438290580094
Keswick,hydroelectric,117.0,2522.0124345415506,0,2569.432664491305
Nimbus,hydroelectric,16.6,2512.1566606542942,0,2493.3486164707983
Shasta,hydroelectric,714.0,2515.9198815245213,0,2566.3481605819984
ONeill,pumped storage,14.4,2576.7154120414675,0,2511.907074757781
Parker Dam,hydroelectric,120.0,2227.111063664007,0,2002.5630920658027
W R Gianelli,pumped storage,401.0,2580.585671656564,0,2515.1967183287297
Spring Creek,hydroelectric,180.0,2523.0247971783865,0,2571.037389082759
Trinity,hydroelectric,140.0,2539.59522763973,0,2594.1235831788426
Colgate,hydroelectric,352.4,2477.666792669403,0,2479.354607704892
Narrows 2,hydroelectric,55.0,2488.017883054867,0,2487.471649456247
Bear Valley,hydroelectric,1.4,2513.40334918598,0,2296.1237056205664
Pueblo,petroleum,8.0,1284.19745469734,0,1066.1656698847205
Alamosa,natural gas,27.0,1428.026197359354,0,1191.239819444443
Boulder Canyon Hydro,hydroelectric,5.0,1224.6418901362713,0,1121.728916280972
Cabin Creek,pumped storage,351.9,1272.2471409524485,0,1152.6413679378509
Cherokee,natural gas,886.0,1209.24661955968,0,1089.4189705734655
Comanche (CO),coal,1085.0,1285.6139246823084,0,1063.5134113610316
Fruita,natural gas,14.0,1525.0810068654384,0,1414.0434033677059
Georgetown Hydro,hydroelectric,1.6,1269.30340864507,0,1151.7553090356248
Salida,hydroelectric,0.6,1375.1594119582553,0,1198.8079908205625
Shoshone (CO),hydroelectric,15.0,1388.7431029350757,0,1282.686971705359
Valmont,natural gas,43.0,1214.2460803490417,0,1110.716341612756
Temescal,hydroelectric,2.8,2503.147311540333,0,2309.797370820211
Corona,hydroelectric,2.8,2509.8843293550417,0,2318.6065024171658
Perris,hydroelectric,7.9,2479.8821176577253,0,2282.654300172838
Rio Hondo,hydroelectric,1.9,2536.4471186611386,0,2355.055137531927
Coyote Creek,hydroelectric,3.1,2531.015699361463,0,2345.736887340667
Red Mountain,hydroelectric,5.9,2510.263116705367,0,2301.238907453568
Valley View,hydroelectric,4.1,2523.31126820162,0,2335.8274808978454
Upper Dawson,hydroelectric,5.5,2502.7210484941197,0,2448.961292249958
South Plant,natural gas,150.0,1261.3779747229694,0,1079.5376245199377
George Birdsall,natural gas,55.0,1256.4875674658335,0,1077.7457424796632
Manitou Springs,hydroelectric,5.5,1266.3005487408866,0,1087.947807856312
Ruxton Park,hydroelectric,1.0,1270.0823693873879,0,1091.5654717905481
Holly,petroleum,2.7,1136.4025007828643,0,849.3471422023606
Julesburg,petroleum,2.2,948.904231058987,0,879.7058121878558
Boysen,hydroelectric,17.2,1305.072480297216,0,1419.5566600748205
Las Animas,petroleum,5.1,1206.0962512900464,0,947.8137922658059
Lamar Plant,wind,7.5,1165.2699482953192,0,889.5570668471105
Sonoma California Geothermal,geothermal,50.0,2625.48698743832,0,2621.9423901647137
Trinidad (CO),petroleum,9.2,1355.1842365760663,0,1076.1037796524124
Blue Mesa,hydroelectric,86.4,1462.9186102100712,0,1299.7622050305467
Estes,hydroelectric,51.6,1217.2295831954557,0,1139.5249538523176
Morrow Point,hydroelectric,173.2,1477.5758949577835,0,1317.2497993990394
Big Thompson,hydroelectric,5.2,1193.6475977591265,0,1115.8478719110633
Green Mountain,hydroelectric,26.0,1305.3562615310652,0,1206.4156276605286
Marys Lake,hydroelectric,9.3,1220.8102035869342,0,1141.3080287726084
Flatiron,hydroelectric,94.5,1197.5753586596936,0,1116.3168700351798
Pole Hill,hydroelectric,38.2,1204.1652078518632,0,1123.8330278702388
Lower Molina,hydroelectric,5.6,1470.505677848986,0,1354.2398421537678
Upper Molina,hydroelectric,9.9,1470.4287235518607,0,1351.151110620378
Hayden,coal,441.0,1337.3580493606164,0,1281.8313084097883
Sacramento Municipal Util Dist,hydroelectric,7.2,2500.398388398161,0,2494.485738305208
McWilliams,natural gas,664.0,1571.209103365128,0,978.2279484086512
Jones Fork,hydroelectric,10.0,2436.311651523279,0,2417.8226924217383
McClellan (CA),natural gas,77.0,2524.999353803286,0,2507.899154669154
Camanche,hydroelectric,10.5,2516.7996903917183,0,2484.419674365949
Rocky River (CT),pumped storage,29.4,1538.0034052281312,0,1635.2843712330957
Branford,petroleum,17.4,1599.3079096411736,0,1686.3385149201827
Bulls Bridge,hydroelectric,8.4,1530.6540156537355,0,1631.2907697094374
Cos Cob,petroleum,95.6,1547.3522579890594,0,1617.540512168043
Devon Station,petroleum,132.4,1578.0480197845018,0,1659.561634313289
Montville Station,petroleum,496.4,1648.174067945455,0,1744.8513303467078
Northfield Mountain,pumped storage,1168.0,1578.5207219100582,0,1726.7001896399343
Kettle Falls Generating Station,biomass,56.2,2027.9457751536452,0,2326.107130777071
Scotland Dam,hydroelectric,1.7,1637.7175699047768,0,1744.7857958676022
Shepaug,hydroelectric,41.5,1554.0640556933126,0,1645.7090180885525
Stevenson,hydroelectric,28.9,1566.2811406427106,0,1655.5159604463684
Taftville,hydroelectric,2.0,1647.1217363073824,0,1750.4431046579432
Tunnel,petroleum,18.1,1648.0697660939575,0,1750.6565241153805
Rainbow (CT),hydroelectric,8.0,1583.8826761678088,0,1699.807667996476
Falls Village,hydroelectric,9.9,1529.4015637313269,0,1644.6641761135065
Franklin Drive,petroleum,16.1,1554.9042236011192,0,1663.7544216525193
Middletown,petroleum,770.2,1606.0022822711244,0,1706.0427574883004
Stanton Energy Center,coal,1214.7,2055.322532547628,0,1541.086237441432
Torrington Terminal,petroleum,17.4,1555.3729725637409,0,1663.1401670558414
Millstone,nuclear,2081.2,1647.556988680124,0,1738.7080017856824
Bridgeport Station,natural gas,482.8,1573.75567070616,0,1653.0271963095493
Central Hudson High Falls,hydroelectric,3.2,1474.3087116396462,0,1580.3617087281095
Tenth Street,hydroelectric,1.0,1647.972095204782,0,1749.7896333759352
Navajo Dam,hydroelectric,30.0,1591.849920068477,0,1355.7079465163145
Drop 1,hydroelectric,3.8,2396.987251970487,0,2139.243418152193
